week,temperature
1,38
2,37
3,37
4,37
5,37
6,39
7,39
8,39
9,39
10,43
11,43
12,43
13,43
14,46
15,46
16,46
17,46
18,48
19,54
20,54
21,54
22,54
23,59
24,59
25,59
26,59
27,63
28,63
29,63
30,63
31,63
32,63
33,63
34,63
35,60
36,59
37,59
38,59
39,59
40,52
41,52
42,52
43,52
44,45
45,45
46,45
47,45
48,39
49,39
50,39
51,39
52,39
