TrialNumber,ApplicationNumber,FilingDate,PatentNumber
IPR2015-00085,11652707,2014-10-17,7771153
IPR2015-00097,13831568,2014-10-20,8538321
IPR2015-00095,13481821,2014-10-20,8475174
IPR2015-00093,09545948,2014-10-20,6975220
IPR2015-00103,12342241,2014-10-21,8300863
IPR2015-00106,09909404,2014-10-21,6703939
IPR2015-00113,10057739,2014-10-21,7145461
IPR2015-00105,09396991,2014-10-21,6307481
IPR2015-00108,13316263,2014-10-21,8566361
IPR2015-00109,10331958,2014-10-21,6864796
IPR2015-00112,10796595,2014-10-21,7095331
IPR2015-00115,11633672,2014-10-21,7479890
IPR2015-00101,09384099,2014-10-21,6219222
IPR2015-00100,13316263,2014-10-21,8566361
IPR2015-00123,13863605,2014-10-23,8523063
IPR2015-00137,13532342,2014-10-23,8297502
IPR2015-00136,13301448,2014-10-23,8468174
IPR2015-00125,13901175,2014-10-23,8540152
IPR2015-00122,13863605,2014-10-23,8523063
IPR2015-00133,13532342,2014-10-23,8297502
IPR2015-00119,13857616,2014-10-23,8690057
IPR2015-00128,13301448,2014-10-23,8468174
IPR2015-00124,13901175,2014-10-23,8540152
IPR2015-00156,11005816,2014-10-24,7551732
IPR2015-00148,09366897,2014-10-24,6356122
IPR2015-00150,12376866,2014-10-24,8557056
CBM2015-00014,09027585,2014-10-24,6321201
IPR2015-00155,12002507,2014-10-24,7853243
IPR2015-00149,10346105,2014-10-24,6926544
IPR2015-00170,11788455,2014-10-28,8076507
IPR2015-00173,11788455,2014-10-28,8076507
IPR2015-00165,11517982,2014-10-28,8765167
IPR2015-00159,10966161,2014-10-28,7296121
IPR2015-00168,11517982,2014-10-28,8765167
IPR2015-00169,11517982,2014-10-28,8765167
IPR2015-00163,10966161,2014-10-28,7296121
IPR2015-00171,11788455,2014-10-28,8076507
IPR2015-00182,10253151,2014-10-29,6860814
IPR2015-00180,13018421,2014-10-29,8601154
CBM2015-00016,12943847,2014-10-30,8033458
CBM2015-00017,13012541,2014-10-30,8061598
IPR2015-00198,08721316,2014-10-31,6009469
IPR2015-00208,10313055,2014-10-31,6681897
IPR2015-00196,08719554,2014-10-31,6131121
IPR2015-00209,08533115,2014-10-31,6108704
IPR2015-00195,09330763,2014-10-31,6475435
IPR2015-00222,13065023,2014-11-03,8065352
IPR2015-00226,11654828,2014-11-03,7499946
IPR2015-00227,09406568,2014-11-03,6468967
IPR2015-00228,10347102,2014-11-03,7092957
CBM2015-00022,13041809,2014-11-03,8301466
IPR2015-00219,13065023,2014-11-03,8065352
IPR2015-00223,10082544,2014-11-03,6852689
IPR2015-00158,10966161,2014-11-04,7296121
CBM2015-00025,11262527,2014-11-05,8050982
CBM2015-00024,13200230,2014-11-05,8494917
IPR2015-00233,09992220,2014-11-05,6601650
CBM2015-00021,09027585,2014-11-06,6321201
IPR2015-00250,13621382,2014-11-07,8543330
IPR2015-00251,14033963,2014-11-07,8676491
IPR2015-00249,09781636,2014-11-07,6481468
IPR2015-00229,12329411,2014-11-10,7667692
IPR2015-00254,09583350,2014-11-10,6517843
IPR2015-00230,11747863,2014-11-10,7463245
IPR2015-00259,09953408,2014-11-12,7191233
IPR2015-00268,09291498,2014-11-13,6335031
IPR2015-00265,09747519,2014-11-13,6316023
IPR2015-00266,12766815,2014-11-13,8646935
IPR2015-00273,13009554,2014-11-19,8382022
PGR2015-00003,14011304,2014-11-21,8660888
CBM2015-00027,11423340,2014-11-21,7631191
CBM2015-00028,11336758,2014-11-24,7334720
CBM2015-00029,11336758,2014-11-24,7334720
CBM2015-00033,13212047,2014-11-25,8336772
CBM2015-00030,09027585,2014-11-25,6321201
IPR2015-00300,10171582,2014-11-25,6721178
IPR2015-00303,10044786,2014-11-25,6819271
IPR2015-00291,12580943,2014-11-25,8168181
IPR2015-00302,10044786,2014-11-25,6819271
IPR2015-00298,13553310,2014-11-25,8586849
IPR2015-00304,10044786,2014-11-25,6819271
IPR2015-00305,10044786,2014-11-25,6819271
CBM2015-00032,13212047,2014-11-25,8336772
IPR2015-00307,10941471,2014-11-25,7269247
IPR2015-00306,29395663,2014-11-25,D677423
CBM2015-00031,13212047,2014-11-25,8336772
IPR2015-00301,09397817,2014-11-25,6493220
IPR2015-00309,10197235,2014-11-26,6906981
IPR2015-00310,10197235,2014-11-26,6906981
IPR2015-00311,10197235,2014-11-26,6906981
IPR2015-00315,11397443,2014-11-26,7477624
IPR2015-00316,11397443,2014-11-26,7477624
IPR2015-00313,08970674,2014-11-26,6026059
IPR2015-00314,11397443,2014-11-26,7477624
IPR2015-00341,13187673,2014-12-02,8674260
IPR2015-00348,13829717,2014-12-03,8656441
IPR2015-00336,09658671,2014-12-03,6618593
IPR2015-00345,11977202,2014-12-03,8205237
IPR2015-00343,13338079,2014-12-03,8640179
IPR2015-00335,09034773,2014-12-03,6108686
IPR2015-00347,11445928,2014-12-03,8010988
IPR2015-00369,08949999,2014-12-04,6128290
IPR2015-00373,08949999,2014-12-04,6128290
IPR2015-00378,10352343,2014-12-05,7448084
CBM2015-00037,09799879,2014-12-05,6996538
IPR2015-00379,13766665,2014-12-05,8777921
IPR2015-00385,12696135,2014-12-05,8237294
IPR2015-00377,13301741,2014-12-05,8601322
IPR2015-00375,12091150,2014-12-05,8074115
IPR2015-00372,10352343,2014-12-05,7448084
IPR2015-00374,12154405,2014-12-05,7913306
CBM2015-00026,09109784,2014-12-08,6193520
IPR2015-00393,11535801,2014-12-08,7430355
CBM2015-00040,10956121,2014-12-09,7774280
IPR2015-00324,09798176,2014-12-10,6895520
IPR2015-00330,11117863,2014-12-10,7327369
IPR2015-00321,09707060,2014-12-10,7095945
IPR2015-00325,11746453,2014-12-10,7742053
IPR2015-00326,10718318,2014-12-10,6897871
IPR2015-00420,13569095,2014-12-11,8597687
IPR2015-00414,11617509,2014-12-11,7643168
IPR2015-00412,10336470,2014-12-11,7365871
CBM2015-00044,08747174,2014-12-12,5793302
IPR2015-00424,08727409,2014-12-12,6066584
IPR2015-00398,08727409,2014-12-12,6066584
IPR2015-00409,13705691,2014-12-19,8689472
IPR2015-00460,09407268,2014-12-19,6146997
IPR2015-00459,09467086,2014-12-19,6150244
IPR2015-00465,12206062,2014-12-19,8049459
IPR2015-00470,12359403,2014-12-19,8402115
IPR2015-00472,10623356,2014-12-19,7082640
IPR2015-00467,08760665,2014-12-19,6030893
IPR2015-00468,10623356,2014-12-19,7082640
IPR2015-00466,08760665,2014-12-19,6030893
IPR2015-00473,08420019,2014-12-19,5530431
IPR2015-00434,12698700,2014-12-22,8112914
CBM2015-00049,09737494,2014-12-22,7062749
IPR2015-00433,11349491,2014-12-22,7914226
CBM2015-00050,11398133,2014-12-22,7603674
IPR2015-00416,29377589,2014-12-22,D673982
IPR2015-00435,12698700,2014-12-22,8112914
IPR2015-00482,13214746,2014-12-23,8694040
IPR2015-00499,08234727,2014-12-23,5930444
IPR2015-00483,08636477,2014-12-23,5894554
IPR2015-00476,10699555,2014-12-23,7218313
IPR2015-00487,11454822,2014-12-23,7404660
IPR2015-00396,10699555,2014-12-23,7218313
IPR2015-00485,09234048,2014-12-23,6415335
IPR2015-00481,08420019,2014-12-23,5530431
IPR2015-00491,13214746,2014-12-24,8694040
IPR2015-00490,11245408,2014-12-29,7300194
IPR2015-00489,11244544,2014-12-29,7384177
IPR2015-00493,11548330,2014-12-29,7537370
IPR2015-00506,11673302,2014-12-30,7434973
IPR2015-00518,12189323,2014-12-31,8324283
IPR2015-00531,13043419,2015-01-05,8542643
IPR2015-00532,09167795,2015-01-05,6501091
IPR2015-00528,08969302,2015-01-05,6322901
IPR2015-00529,13683236,2015-01-05,8846112
IPR2015-00534,08011415,2015-01-06,5371734
IPR2015-00546,10979665,2015-01-08,7765106
IPR2015-00548,12704097,2015-01-08,7895059
IPR2015-00554,10322348,2015-01-08,7668730
IPR2015-00545,13595676,2015-01-08,8589182
IPR2015-00551,13595757,2015-01-08,8457988
IPR2015-00547,11097985,2015-01-08,7765107
IPR2015-00556,12882323,2015-01-12,8381573
IPR2015-00562,10031463,2015-01-13,6821975
IPR2015-00561,10031464,2015-01-13,7182958
IPR2015-00566,11454352,2015-01-14,7162967
IPR2015-00565,11455042,2015-01-14,7293520
CBM2015-00061,09695828,2015-01-14,7024387
IPR2015-00564,12773307,2015-01-14,8334648
IPR2015-00567,11070614,2015-01-14,7080607
IPR2015-00559,10346105,2015-01-14,6926544
IPR2015-00533,10699555,2015-01-15,7218313
CBM2015-00059,13212047,2015-01-15,8336772
IPR2015-00560,09400320,2015-01-15,7092509
CBM2015-00062,10196122,2015-01-16,7178020
CBM2015-00063,10196122,2015-01-16,7178020
CBM2015-00064,11653104,2015-01-19,8676609
IPR2015-00584,12843399,2015-01-20,8096660
IPR2015-00583,10392960,2015-01-20,7762665
IPR2015-00595,12331088,2015-01-21,7944173
IPR2015-00597,13014264,2015-01-21,7999510
IPR2015-00596,11780829,2015-01-21,7554290
IPR2015-00600,08591315,2015-01-22,5633329
IPR2015-00609,09718763,2015-01-23,6445993
IPR2015-00615,10236645,2015-01-23,7075585
IPR2015-00599,10241626,2015-01-23,7120835
IPR2015-00614,12204764,2015-01-23,8579133
IPR2015-00603,13534706,2015-01-23,8322856
IPR2015-00604,13866430,2015-01-23,8672482
IPR2015-00617,08234239,2015-01-23,6195587
IPR2015-00605,10408500,2015-01-23,6837551
IPR2015-00622,10998691,2015-01-26,7450163
IPR2015-00623,12290066,2015-01-26,7995118
IPR2015-00626,10884347,2015-01-26,7265792
IPR2015-00627,09953408,2015-01-26,7191233
IPR2015-00621,12317727,2015-01-26,7991792
IPR2015-00624,11051069,2015-01-26,7456872
IPR2015-00629,10427093,2015-01-28,6757582
IPR2015-00606,11229762,2015-01-28,7237634
IPR2015-00592,10236645,2015-01-28,7075585
IPR2015-00630,09189914,2015-01-28,6205411
IPR2015-00594,10884347,2015-01-28,7265792
IPR2015-00637,14299531,2015-01-29,8908838
IPR2015-00636,14299651,2015-01-29,8917822
IPR2015-00632,13455841,2015-01-30,8727773
PGR2015-00005,14152845,2015-01-30,8725557
IPR2015-00649,13639053,2015-02-01,8651118
IPR2015-00657,08858650,2015-02-02,6286045
IPR2015-00666,08872971,2015-02-02,6014698
IPR2015-00660,08858650,2015-02-02,6286045
IPR2015-00650,12704981,2015-02-02,8137757
IPR2015-00662,08872971,2015-02-02,6014698
IPR2015-00664,11840728,2015-02-02,8372437
CBM2015-00071,08484794,2015-02-04,5841115
IPR2015-00635,08276534,2015-02-05,5563883
IPR2015-00643,13308299,2015-02-06,8232250
IPR2015-00713,11162350,2015-02-06,7035077
IPR2015-00644,12806684,2015-02-07,8399413
IPR2015-00727,12815930,2015-02-12,RE42678
IPR2015-00726,12816084,2015-02-12,RE42368
IPR2015-00737,08914406,2015-02-13,5975019
IPR2015-00731,12816084,2015-02-13,RE42368
IPR2015-00739,12815930,2015-02-14,RE42678
IPR2015-00740,12064489,2015-02-14,8332475
IPR2015-00729,11249009,2015-02-17,7280097
IPR2015-00754,13119743,2015-02-17,8592454
IPR2015-00709,11085589,2015-02-18,7171912
IPR2015-00708,10083681,2015-02-18,6889620
IPR2015-00711,11643647,2015-02-18,7343867
IPR2015-00765,10472654,2015-02-19,7346417
CBM2015-00082,10015729,2015-02-19,6871325
IPR2015-00730,12689207,2015-02-19,7932892
CBM2015-00080,09400413,2015-02-19,6384850
IPR2015-00774,13277778,2015-02-19,8585136
IPR2015-00780,11027026,2015-02-20,7670358
IPR2015-00783,11202409,2015-02-20,7776072
CBM2015-00087,12907638,2015-02-20,8027883
IPR2015-00762,11701350,2015-02-20,7626349
IPR2015-00786,13385387,2015-02-20,8584853
CBM2015-00086,11053608,2015-02-20,7818214
IPR2015-00791,11229762,2015-02-22,7237634
IPR2015-00784,11229762,2015-02-22,7237634
IPR2015-00758,11229762,2015-02-22,7237634
IPR2015-00722,11229762,2015-02-22,7237634
IPR2015-00785,11229762,2015-02-22,7237634
IPR2015-00787,11229762,2015-02-23,7237634
IPR2015-00792,13065704,2015-02-23,8214097
IPR2015-00794,10382577,2015-02-23,7104347
IPR2015-00790,11229762,2015-02-23,7237634
IPR2015-00795,10382577,2015-02-23,7104347
IPR2015-00801,11229762,2015-02-24,7237634
IPR2015-00800,11229762,2015-02-24,7237634
IPR2015-00804,12970784,2015-02-24,8361899
IPR2015-00799,11229762,2015-02-24,7237634
IPR2015-00803,12970729,2015-02-24,8283758
IPR2015-00807,13098090,2015-02-25,8612515
IPR2015-00806,10961720,2015-02-25,7765482
IPR2015-00814,09768327,2015-02-26,6690264
IPR2015-00816,12816084,2015-02-26,RE42368
IPR2015-00818,13175768,2015-02-27,8237568
IPR2015-00826,08491273,2015-02-27,5810029
IPR2015-00819,13464894,2015-02-27,8325044
IPR2015-00825,09965335,2015-02-27,6425035
IPR2015-00822,09965335,2015-02-27,6425035
IPR2015-00812,13911792,2015-03-02,8850009
IPR2015-00811,13615557,2015-03-02,8868705
CBM2015-00091,09400413,2015-03-02,6384850
IPR2015-00810,13615557,2015-03-02,8868705
IPR2015-00830,13770677,2015-03-03,8969302
CBM2015-00094,12255899,2015-03-03,8630942
IPR2015-00841,11588412,2015-03-04,RE43919
IPR2015-00842,11588412,2015-03-04,RE43919
IPR2015-00854,12690592,2015-03-06,7934041
CBM2015-00099,10015729,2015-03-06,6871325
IPR2015-00846,09782546,2015-03-06,7509178
IPR2015-00849,08835037,2015-03-06,5902347
IPR2015-00852,10658163,2015-03-06,7051147
IPR2015-00851,08835037,2015-03-06,5902347
IPR2015-00845,08724813,2015-03-06,6199076
IPR2015-00872,13192438,2015-03-11,8739993
IPR2015-00864,11520168,2015-03-12,8404703
IPR2015-00865,12006546,2015-03-13,8569325
IPR2015-00880,12802353,2015-03-13,8329458
IPR2015-00860,10214048,2015-03-13,6775601
IPR2015-00881,08250030,2015-03-13,5643723
IPR2015-00861,10214048,2015-03-13,6775601
IPR2015-00893,14065975,2015-03-16,8776795
IPR2015-00863,10707741,2015-03-16,7202843
IPR2015-00883,11056511,2015-03-16,8374887
IPR2015-00891,13677483,2015-03-16,8573210
IPR2015-00887,10929473,2015-03-16,7420550
IPR2015-00884,13493493,2015-03-16,8291904
IPR2015-00890,09648972,2015-03-16,6434486
IPR2015-00888,14065951,2015-03-16,8776794
IPR2015-00889,13509873,2015-03-16,8573209
IPR2015-00866,13336790,2015-03-17,8458341
IPR2015-00886,13777820,2015-03-17,RE44815
IPR2015-00894,12815930,2015-03-17,RE42678
IPR2015-00868,13336958,2015-03-17,8516131
IPR2015-00871,13342795,2015-03-17,8560705
PGR2015-00009,14010175,2015-03-17,8756166
IPR2015-00882,13777820,2015-03-17,RE44815
IPR2015-00870,13342795,2015-03-17,8560705
IPR2015-00902,13687242,2015-03-19,8669290
IPR2015-00903,10525006,2015-03-19,8129431
IPR2015-00899,09223921,2015-03-20,6202395
IPR2015-00898,09223921,2015-03-20,6202395
IPR2015-00908,11161730,2015-03-20,7035076
IPR2015-00924,11763680,2015-03-24,7590550
IPR2015-00941,10214048,2015-03-25,6775601
IPR2015-00956,13763173,2015-03-26,8905991
IPR2015-00958,13277778,2015-03-27,8585136
IPR2015-00969,08645636,2015-03-30,5884033
IPR2015-00980,08267084,2015-03-31,5566287
CBM2015-00105,08418011,2015-03-31,5569082
CBM2015-00106,08738317,2015-03-31,5709603
IPR2015-00979,12797061,2015-03-31,8695841
IPR2015-00975,10282438,2015-04-01,8051211
IPR2015-00978,10664551,2015-04-01,7340597
IPR2015-00990,09750022,2015-04-01,7056886
IPR2015-00988,10009491,2015-04-01,6773720
IPR2015-01005,09648972,2015-04-03,6434486
IPR2015-00998,10308806,2015-04-03,6684897
IPR2015-01002,10214048,2015-04-03,6775601
IPR2015-01006,08719554,2015-04-06,6131121
IPR2015-01011,08533115,2015-04-06,6108704
IPR2015-01007,08721316,2015-04-06,6009469
IPR2015-01021,13032470,2015-04-07,8081536
IPR2015-01020,12629827,2015-04-07,7881150
IPR2015-01031,10271801,2015-04-09,7900229
IPR2015-01026,08124718,2015-04-09,5490216
IPR2015-01023,12849093,2015-04-10,8035623
IPR2015-01034,14094128,2015-04-10,8863979
IPR2015-01039,10187925,2015-04-10,7003357
CBM2015-00113,13800573,2015-04-13,8904464
IPR2015-01047,10259494,2015-04-14,7490151
IPR2015-01036,13385375,2015-04-14,8364839
IPR2015-01046,09504783,2015-04-14,6502135
IPR2015-01057,09699363,2015-04-15,6319006
IPR2015-01060,12822564,2015-04-16,8375880
IPR2015-01073,10812084,2015-04-18,7078011
IPR2015-01071,10812084,2015-04-18,7078011
IPR2015-01061,09789780,2015-04-18,7269854
IPR2015-01072,10812084,2015-04-18,7078011
IPR2015-01077,08843033,2015-04-20,5963557
IPR2015-01078,14268724,2015-04-20,8896694
IPR2015-01080,13822255,2015-04-20,8890954
IPR2015-00915,13229016,2015-04-20,8710282
IPR2015-00917,13229016,2015-04-20,8710282
IPR2015-00916,13229016,2015-04-20,8710282
IPR2015-01081,08946416,2015-04-21,5987604
IPR2015-01079,09336003,2015-04-22,6373498
IPR2015-01089,10044786,2015-04-22,6819271
IPR2015-01085,13404977,2015-04-22,8466795
IPR2015-01092,09143569,2015-04-23,6045501
IPR2015-01095,09556135,2015-04-23,6474159
IPR2015-01099,13687242,2015-04-23,8669290
IPR2015-01102,09694217,2015-04-23,6315720
IPR2015-01104,09372024,2015-04-23,6496579
IPR2015-01105,14261720,2015-04-23,8871813
IPR2015-01100,14493903,2015-04-23,8927606
IPR2015-01107,09009007,2015-04-23,6078654
IPR2015-01097,14165976,2015-04-23,8754131
IPR2015-01103,09694217,2015-04-23,6315720
IPR2015-01093,09750022,2015-04-23,7056886
IPR2015-01096,09694217,2015-04-23,6315720
IPR2015-01108,10964345,2015-04-24,7238888
IPR2015-01094,09336110,2015-04-24,6401202
IPR2015-01009,13950919,2015-04-28,8843643
IPR2015-01010,13950919,2015-04-28,8843643
IPR2015-01129,13460633,2015-04-29,8511472
IPR2015-01131,13656226,2015-04-29,8603557
IPR2015-01128,13341339,2015-04-29,8293299
IPR2015-01118,08208322,2015-04-29,5463374
IPR2015-01117,12350111,2015-04-29,8642012
IPR2015-01127,13417137,2015-04-29,8404215
IPR2015-01130,09919723,2015-04-29,6655180
IPR2015-01124,12480360,2015-04-30,8404203
CBM2015-00117,12943872,2015-04-30,8118221
CBM2015-00119,12943847,2015-04-30,8033458
CBM2015-00120,13012541,2015-04-30,8061598
IPR2015-01125,12038423,2015-04-30,7601662
IPR2015-01123,12480360,2015-04-30,8404203
IPR2015-01121,12038423,2015-04-30,7601662
CBM2015-00121,13438754,2015-05-06,8794516
IPR2015-01168,14270085,2015-05-06,8837144
IPR2015-01140,09336067,2015-05-06,6519659
IPR2015-01157,11589700,2015-05-06,8889083
IPR2015-01167,13526514,2015-05-06,8717758
IPR2015-01133,08608028,2015-05-06,5732268
CBM2015-00125,11336758,2015-05-06,7334720
IPR2015-01165,12331088,2015-05-06,7944173
CBM2015-00123,12943847,2015-05-06,8033458
IPR2015-01164,11780829,2015-05-06,7554290
IPR2015-01166,13014264,2015-05-06,7999510
IPR2015-01132,09916996,2015-05-07,6523123
CBM2015-00126,12943872,2015-05-07,8118221
IPR2015-01141,09636261,2015-05-07,6633976
IPR2015-01154,13153065,2015-05-07,8979446
CBM2015-00124,12014558,2015-05-07,7942317
CBM2015-00127,11336758,2015-05-07,7334720
CBM2015-00131,13012541,2015-05-08,8061598
CBM2015-00132,13212047,2015-05-08,8336772
CBM2015-00130,12943872,2015-05-08,8118221
IPR2015-01178,10874172,2015-05-08,7477410
IPR2015-01191,09679450,2015-05-11,6892304
IPR2015-01171,12855006,2015-05-11,7994726
IPR2015-01190,09699363,2015-05-11,6319006
IPR2015-01173,11480868,2015-05-11,7329970
CBM2015-00133,13212047,2015-05-11,8336772
IPR2015-01175,13189865,2015-05-11,8288952
IPR2015-01187,09924639,2015-05-11,6993353
PGR2015-00011,14080771,2015-05-11,8859623
IPR2015-01174,12239369,2015-05-11,7781980
IPR2015-01172,11928964,2015-05-11,7498749
IPR2015-01151,13189865,2015-05-12,8288952
IPR2015-01148,11928964,2015-05-12,7498749
IPR2015-01147,12855006,2015-05-12,7994726
IPR2015-01197,09459060,2015-05-12,6487656
IPR2015-01150,12239369,2015-05-12,7781980
IPR2015-01149,11480868,2015-05-12,7329970
IPR2015-01201,08482172,2015-05-14,5591678
IPR2015-01205,09076124,2015-05-15,6114319
IPR2015-01206,10115279,2015-05-15,7688347
IPR2015-01212,09369788,2015-05-18,6318065
IPR2015-01227,11459121,2015-05-19,7907714
PGR2015-00014,14323582,2015-05-19,8929525
IPR2015-01214,09961711,2015-05-19,6470686
IPR2015-01219,13449308,2015-05-19,8626118
IPR2015-01222,12975077,2015-05-19,8750486
IPR2015-01221,12766159,2015-05-19,8489068
IPR2015-01225,12284450,2015-05-19,8886663
IPR2015-01226,11603938,2015-05-19,8135115
PGR2015-00013,14040088,2015-05-19,8855280
IPR2015-01220,11480258,2015-05-19,7494061
IPR2015-01239,09933302,2015-05-20,6508317
IPR2015-01236,12968832,2015-05-20,8142308
IPR2015-01247,10339116,2015-05-21,6928757
IPR2015-01233,09302090,2015-05-21,6836290
IPR2015-01232,09816038,2015-05-21,7092029
IPR2015-01243,12331088,2015-05-22,7944173
IPR2015-01253,12893230,2015-05-22,8457797
IPR2015-01251,12840169,2015-05-22,8626344
IPR2015-01252,08925670,2015-05-22,5921489
IPR2015-01248,12840169,2015-05-22,8626344
IPR2015-01242,11780829,2015-05-22,7554290
IPR2015-01244,13014264,2015-05-22,7999510
IPR2015-01264,12353218,2015-05-26,7945856
IPR2015-01267,11676798,2015-05-26,9032709
IPR2015-01265,13274635,2015-05-26,8899023
IPR2015-01266,14497454,2015-05-26,9039982
IPR2015-01269,11591878,2015-05-26,7493558
IPR2015-01268,09632154,2015-05-26,7181690
IPR2015-01276,12189476,2015-05-27,8746330
IPR2015-01274,12543969,2015-05-27,7887536
IPR2015-01287,09128147,2015-05-28,6013988
IPR2015-01294,10435687,2015-05-28,7038399
IPR2015-01291,09933557,2015-05-28,6561690
IPR2015-01293,11379191,2015-05-28,7352138
IPR2015-01290,09012319,2015-05-28,6250774
IPR2015-01292,10012000,2015-05-28,6586890
IPR2015-01309,13204428,2015-05-29,8623808
IPR2015-01321,12406970,2015-06-01,8145998
IPR2015-01323,09178606,2015-06-01,6314409
IPR2015-01325,12406970,2015-06-01,8145998
IPR2015-01319,12406968,2015-06-01,8082501
IPR2015-01331,09950223,2015-06-03,6992879
IPR2015-01330,09596673,2015-06-03,6337791
CBM2015-00147,09789780,2015-06-03,7269854
IPR2015-01332,09198555,2015-06-03,6144547
IPR2015-01341,10004429,2015-06-04,RE39618
IPR2015-01340,13308658,2015-06-04,RE44186
IPR2015-01358,10619040,2015-06-08,7006604
IPR2015-01347,09347761,2015-06-08,6275214
IPR2015-01359,09783337,2015-06-08,6493426
IPR2015-01357,10316215,2015-06-08,6934366
IPR2015-01355,09108790,2015-06-08,5974116
IPR2015-01353,10966161,2015-06-08,7296121
IPR2015-01364,08922926,2015-06-09,6101534
IPR2015-01366,10336470,2015-06-09,7365871
IPR2015-01367,08414746,2015-06-10,5602831
IPR2015-01376,10966161,2015-06-11,7296121
IPR2015-01405,12506749,2015-06-12,8776218
IPR2015-01403,13650946,2015-06-12,8893559
IPR2015-01402,12599858,2015-06-12,8114210
IPR2015-01410,13800691,2015-06-15,8643724
IPR2015-01409,11015803,2015-06-15,7636863
IPR2015-01411,11422516,2015-06-15,7664971
IPR2015-01397,08719554,2015-06-15,6131121
IPR2015-01407,08719554,2015-06-15,6131121
IPR2015-01406,08533115,2015-06-15,6108704
IPR2015-01400,08721316,2015-06-15,6009469
IPR2015-01414,13800691,2015-06-15,8643724
PGR2015-00017,14169927,2015-06-15,8933395
IPR2015-01398,08533115,2015-06-15,6108704
IPR2015-01401,10324227,2015-06-15,7945021
IPR2015-01421,12957468,2015-06-16,8349054
IPR2015-01259,08446739,2015-06-16,5655365
IPR2015-01432,10035981,2015-06-16,7139794
IPR2015-01416,08789429,2015-06-16,5850275
IPR2015-01258,08446739,2015-06-16,5655365
IPR2015-01418,13245369,2015-06-16,8939388
IPR2015-01417,08989573,2015-06-16,5966589
IPR2015-01446,10298753,2015-06-18,7016648
IPR2015-01445,10298753,2015-06-18,7016648
IPR2015-01453,29311136,2015-06-19,D631670
IPR2015-01444,09850399,2015-06-19,7039033
IPR2015-01443,09932180,2015-06-19,7295532
IPR2015-01456,13069324,2015-06-22,8687640
IPR2015-01466,09933105,2015-06-22,6542077
IPR2015-01457,13069324,2015-06-22,8687640
IPR2015-01461,12687065,2015-06-22,8579554
PGR2015-00018,14492487,2015-06-22,9051066
IPR2015-01462,13006080,2015-06-22,8579555
IPR2015-01481,09474644,2015-06-23,6510434
IPR2015-01477,10283644,2015-06-23,6587046
IPR2015-01468,10259543,2015-06-23,6909053
IPR2015-01469,08791612,2015-06-23,5870163
IPR2015-01490,11620986,2015-06-24,7754702
IPR2015-01493,12787283,2015-06-24,8431549
IPR2015-01497,08506705,2015-06-24,5790092
IPR2015-01501,12424389,2015-06-24,7777753
IPR2015-01500,10174918,2015-06-24,7321368
IPR2015-01502,11956165,2015-06-24,7542045
IPR2015-01508,09551365,2015-06-25,6542076
IPR2015-01509,09277935,2015-06-25,6549130
IPR2015-01524,09505656,2015-06-26,6366130
IPR2015-01515,08821745,2015-06-26,5978912
IPR2015-01488,10629191,2015-06-26,7185189
IPR2015-01465,12906033,2015-07-01,8725063
IPR2015-01537,12086876,2015-07-02,8476239
IPR2015-01556,10788591,2015-07-06,6908038
IPR2015-01516,13720143,2015-07-06,8783548
IPR2015-01557,10788623,2015-07-06,6890188
IPR2015-01562,12628574,2015-07-08,8150374
IPR2015-01558,13554655,2015-07-08,8658430
IPR2015-01577,11397443,2015-07-13,7477624
IPR2015-01580,11397443,2015-07-13,7477624
IPR2015-01581,11397443,2015-07-13,7477624
IPR2015-01594,11390234,2015-07-14,8252316
IPR2015-01584,08886244,2015-07-14,6029052
IPR2015-01583,09368663,2015-07-14,6418310
IPR2015-01593,13486056,2015-07-14,8679524
IPR2015-01585,08683828,2015-07-14,5917405
IPR2015-01595,12547359,2015-07-15,8529350
IPR2015-01600,08886244,2015-07-17,6029052
CBM2015-00160,10956121,2015-07-17,7774280
CBM2015-00161,09894637,2015-07-20,6766304
IPR2015-01605,10666673,2015-07-20,7149510
IPR2015-01602,11078916,2015-07-20,RE43931
IPR2015-01609,13755491,2015-07-22,8872078
IPR2015-01616,10961373,2015-07-23,7265494
IPR2015-01603,11928964,2015-07-23,7498749
IPR2015-01621,13341319,2015-07-24,8551549
IPR2015-01617,12206087,2015-07-24,7990092
IPR2015-01622,10666673,2015-07-24,7149510
IPR2015-01628,10666673,2015-07-27,7149510
IPR2015-01642,10173958,2015-07-30,6721110
IPR2015-01644,10772339,2015-07-30,6785065
IPR2015-01645,10244334,2015-07-30,7397363
IPR2015-01612,10244334,2015-07-31,7397363
IPR2015-01611,09277935,2015-07-31,6549130
IPR2015-01651,13585303,2015-07-31,8550271
IPR2015-01650,09747904,2015-07-31,6535815
IPR2015-01658,13874194,2015-07-31,8696166
IPR2015-01653,11849609,2015-07-31,RE43106
IPR2015-01656,12851749,2015-07-31,8070319
IPR2015-01657,13758057,2015-07-31,8534869
IPR2015-01659,10714631,2015-07-31,7367037
IPR2015-01613,08683828,2015-07-31,5917405
IPR2015-01610,09551365,2015-07-31,6542076
IPR2015-01664,10583534,2015-08-03,7787431
PGR2015-00019,14167311,2015-08-03,8876991
IPR2015-01646,11078916,2015-08-03,RE43931
IPR2015-01637,11078916,2015-08-03,RE43931
IPR2015-01641,11078916,2015-08-04,RE43931
IPR2015-01666,11673302,2015-08-05,7434973
