TrialNumber,ApplicationNumber,FilingDate,PatentNumber
IPR2016-00952,13176255,2016-04-25,9121412
IPR2016-00954,10089419,2016-04-27,6695012
IPR2016-00959,11712175,2016-04-28,7855635
IPR2016-00976,10361837,2016-04-29,6775235
IPR2016-00984,13855452,2016-04-29,8754780
IPR2016-00977,10911846,2016-04-29,7406048
IPR2016-00972,11553426,2016-04-29,7415530
IPR2016-00990,10537825,2016-04-29,7718234
IPR2016-00978,13154211,2016-04-29,8643513
IPR2016-00991,13212072,2016-04-29,8758871
IPR2016-00980,11400533,2016-04-29,7378992
IPR2016-00981,12303947,2016-05-02,8218481
IPR2016-00995,10167557,2016-05-02,6538908
IPR2016-00996,13949980,2016-05-04,9143609
IPR2016-01000,13340939,2016-05-04,9038656
IPR2016-01003,12437412,2016-05-05,8261761
IPR2016-01002,14303276,2016-05-05,9116908
IPR2016-01007,13476310,2016-05-06,8432956
IPR2016-01008,12779660,2016-05-06,8238412
IPR2016-01006,12477742,2016-05-06,7835430
IPR2016-01009,12779660,2016-05-06,8238412
IPR2016-01020,13718016,2016-05-09,9014243
IPR2016-01021,13303417,2016-05-09,8718158
IPR2016-01027,13726324,2016-05-11,9060976
IPR2016-01028,13726324,2016-05-11,9060976
IPR2016-01031,11561801,2016-05-12,7503724
IPR2016-01032,12403181,2016-05-12,7918624
IPR2016-01011,12625436,2016-05-13,7715324
IPR2016-01041,10903857,2016-05-13,7323980
CBM2016-00081,09792323,2016-05-18,7340506
IPR2016-01049,08042239,2016-05-18,5570666
IPR2016-01051,08508063,2016-05-18,5729456
IPR2016-01050,09076291,2016-05-18,6148258
IPR2016-01061,13437725,2016-05-19,8223012
IPR2016-01064,14270890,2016-05-19,9003499
IPR2016-01077,11078239,2016-05-20,6980101
IPR2016-01099,09169910,2016-05-27,6006838
IPR2016-01107,11116497,2016-05-27,7520662
IPR2016-01106,09281749,2016-05-27,6516442
IPR2016-01100,10354242,2016-05-27,6848505
IPR2016-01096,10259949,2016-05-31,6667061
IPR2016-00757,12538514,2016-05-31,7881236
IPR2016-01092,08945845,2016-05-31,5944833
IPR2016-01123,12378244,2016-06-01,8630726
IPR2016-01128,13967163,2016-06-03,8629111
IPR2016-01157,11836633,2016-06-03,8407356
IPR2016-01158,11510351,2016-06-03,8473552
IPR2016-01132,14222478,2016-06-03,9248191
IPR2016-01159,09399578,2016-06-03,8694657
IPR2016-01067,11836633,2016-06-03,8407356
CBM2016-00087,11417522,2016-06-03,7412416
IPR2016-01130,13967179,2016-06-03,8633162
IPR2016-01156,11510463,2016-06-03,8458245
IPR2016-01129,13967189,2016-06-03,8642556
IPR2016-01141,11510463,2016-06-03,8458245
IPR2016-01127,13961828,2016-06-03,8685930
IPR2016-01131,13967168,2016-06-03,8648048
IPR2016-01143,12235086,2016-06-03,7884446
IPR2016-01155,09399578,2016-06-03,8694657
IPR2016-01160,13887889,2016-06-06,8611404
CBM2016-00086,11417502,2016-06-07,7818247
IPR2016-01169,08531012,2016-06-08,5960032
IPR2016-01187,14155013,2016-06-10,8894066
IPR2016-01183,09524909,2016-06-10,6674596
IPR2016-01186,10461503,2016-06-11,6881745
CBM2016-00090,11585966,2016-06-13,7725382
IPR2016-01200,12891443,2016-06-14,8504746
IPR2016-01199,11467073,2016-06-14,8966144
IPR2016-01201,12513147,2016-06-15,8542815
IPR2016-01198,13966096,2016-06-15,9179005
IPR2016-01179,08633896,2016-06-16,5850482
IPR2016-01203,08633896,2016-06-16,5850482
IPR2016-01204,09444082,2016-06-16,6645190
IPR2016-01205,10676662,2016-06-16,7534237
IPR2016-01211,12891443,2016-06-17,8504746
IPR2016-01213,12891443,2016-06-17,8504746
IPR2016-01220,14152831,2016-06-17,9007420
IPR2016-01214,11467073,2016-06-17,8966144
IPR2016-01212,11467073,2016-06-17,8966144
IPR2016-01225,11467073,2016-06-17,8966144
IPR2016-01216,11467073,2016-06-17,8966144
CBM2016-00092,10896287,2016-06-17,7765128
CBM2016-00093,12825183,2016-06-17,8346618
IPR2016-01177,12440869,2016-06-17,7768965
IPR2016-01228,12538514,2016-06-20,7881236
IPR2016-01229,12538514,2016-06-20,7881236
IPR2016-01209,11563909,2016-06-20,7746916
IPR2016-01208,11563909,2016-06-20,7746916
IPR2016-01238,12800152,2016-06-21,8122141
IPR2016-01241,11639102,2016-06-21,7737846
IPR2016-01243,12542498,2016-06-21,7907793
IPR2016-01239,13385375,2016-06-21,8364839
IPR2016-01256,11428822,2016-06-23,8155298
IPR2016-01259,11428822,2016-06-23,8155298
IPR2016-01254,12821119,2016-06-23,8457113
IPR2016-01258,11948965,2016-06-23,7764777
IPR2016-01257,12821119,2016-06-23,8457113
IPR2016-01260,12821119,2016-06-23,8457113
IPR2016-01246,10995283,2016-06-24,7126174
IPR2016-01261,12821119,2016-06-24,8457113
IPR2016-01262,11948965,2016-06-24,7764777
IPR2016-01249,09596415,2016-06-24,6538324
IPR2016-01264,09596415,2016-06-24,6538324
IPR2016-01263,11428822,2016-06-24,8155298
IPR2016-01247,10995283,2016-06-24,7126174
IPR2016-01287,13475252,2016-06-28,8844265
IPR2016-01289,10443342,2016-06-28,7060360
IPR2016-01301,10657299,2016-06-28,6939392
IPR2016-01284,09711272,2016-06-28,6900221
IPR2016-01317,13034340,2016-06-29,8822438
IPR2016-01280,11563909,2016-06-29,7746916
IPR2016-01310,12440869,2016-06-29,7768965
IPR2016-01277,11563909,2016-06-29,7746916
IPR2016-01332,13034340,2016-06-30,8822438
IPR2016-01333,14322869,2016-06-30,9094500
IPR2016-01336,13376235,2016-06-30,9106099
IPR2016-01278,14620913,2016-07-01,9071931
IPR2016-01345,12538514,2016-07-01,7881236
IPR2016-01351,14732340,2016-07-01,9186533
IPR2016-01272,14289366,2016-07-02,8899239
IPR2016-01268,13079937,2016-07-02,8365742
IPR2016-01362,13931857,2016-07-05,9083850
IPR2016-01342,12303947,2016-07-05,8218481
IPR2016-01349,12303947,2016-07-05,8218481
IPR2016-01372,13773191,2016-07-07,8659571
IPR2016-01391,13370918,2016-07-08,8942107
IPR2016-01389,12239001,2016-07-08,8155012
IPR2016-01366,11551204,2016-07-08,8090936
IPR2016-01365,09776267,2016-07-08,7181608
IPR2016-01399,13615755,2016-07-08,8902760
IPR2016-01381,13362113,2016-07-08,8773356
IPR2016-01397,13615734,2016-07-08,9019838
IPR2016-01388,11427280,2016-07-08,7420822
IPR2016-01385,10283427,2016-07-08,7072188
IPR2016-01407,09755723,2016-07-11,6928433
IPR2016-01404,09464347,2016-07-11,6968459
IPR2016-01379,09274114,2016-07-12,6197696
IPR2016-01376,09274114,2016-07-12,6197696
IPR2016-01377,09274114,2016-07-12,6197696
IPR2016-01378,09274114,2016-07-12,6197696
IPR2016-01428,12441883,2016-07-13,8342742
IPR2016-01437,10684818,2016-07-14,7346386
IPR2016-01434,10879640,2016-07-14,7516177
IPR2016-01433,11145125,2016-07-14,7757298
IPR2016-01435,12456389,2016-07-14,8497691
IPR2016-01444,12471942,2016-07-15,8079086
IPR2016-01413,14460134,2016-07-15,9034376
IPR2016-01412,14460134,2016-07-15,9034376
IPR2016-01454,12427414,2016-07-18,8088016
CBM2016-00095,13717384,2016-07-18,8908842
IPR2016-01440,11436790,2016-07-19,7314099
IPR2016-01460,08630359,2016-07-19,5764034
IPR2016-01462,13024794,2016-07-19,8324295
IPR2016-01452,11436790,2016-07-19,7314099
IPR2016-01459,08998963,2016-07-19,6113559
IPR2016-01463,09248492,2016-07-19,6231560
IPR2016-01466,13887889,2016-07-20,8611404
IPR2016-01370,12374528,2016-07-20,8664231
IPR2016-01469,14295981,2016-07-21,9094268
IPR2016-01470,13887889,2016-07-21,8611404
IPR2016-01479,12094173,2016-07-22,9006224
IPR2016-01480,13637222,2016-07-22,8867472
IPR2016-01464,09757241,2016-07-22,7454002
IPR2016-01488,13206121,2016-07-25,8590731
IPR2016-01491,14709300,2016-07-26,9286941
IPR2016-01493,12665427,2016-07-26,8457676
IPR2016-01500,12564536,2016-07-27,8457022
IPR2016-01501,12665427,2016-07-27,8457676
IPR2016-01494,11703065,2016-07-27,8274991
IPR2016-01502,09509378,2016-07-27,6548019
IPR2016-01514,11550863,2016-07-29,7543634
IPR2016-01509,12471174,2016-07-29,7861774
IPR2016-01512,10439245,2016-07-29,RE40264
IPR2016-01517,11104467,2016-07-29,7134505
IPR2016-01496,11104467,2016-07-30,7134505
IPR2016-01520,08449413,2016-07-30,8559635
IPR2016-01506,12471174,2016-07-30,7861774
IPR2016-01505,11550863,2016-07-30,7543634
IPR2016-01522,09000764,2016-08-01,6151493
IPR2016-01528,13286740,2016-08-02,8597831
IPR2016-01537,09800116,2016-08-05,6615130
IPR2016-01542,12820087,2016-08-05,8952138
IPR2016-01535,09528134,2016-08-05,6480783
IPR2016-01536,09800116,2016-08-05,6615130
PGR2016-00030,14723953,2016-08-08,9242749
IPR2016-01550,11838040,2016-08-08,7931239
IPR2016-01559,13092940,2016-08-08,9073532
IPR2016-01582,13034340,2016-08-10,8822438
IPR2016-01579,13678148,2016-08-10,8455527
IPR2016-01584,14089467,2016-08-10,9095233
IPR2016-01595,12533977,2016-08-11,8115457
IPR2016-01594,12533977,2016-08-11,8115457
IPR2016-01589,09192959,2016-08-11,6249876
